doc,type,topic,count
1,1016,19,26
1,1017,8,26
1,1018,36,26
1,1019,6,26
1,1020,38,26
1,1021,29,26
1,1022,20,25
1,1023,29,25
1,1024,39,25
1,1025,22,25
1,1026,14,25
1,1027,22,25
1,1028,14,25
1,1029,28,25
1,1030,31,25
1,1031,22,25
1,1032,6,25
1,1033,29,25
1,1034,14,25
1,1035,15,25
1,1036,29,25
1,1037,25,25
1,1038,16,25
1,1039,31,25
1,1040,36,25
1,1041,8,25
1,1042,6,25
1,1043,25,25
1,1044,12,26
1,1045,39,25
1,1046,38,25
1,1047,39,25
1,1048,29,25
1,1049,25,25
1,1050,25,25
1,1051,8,25
1,1052,8,25
1,1053,38,25
1,1054,6,25
1,1055,20,25
1,1056,20,25
1,1057,35,25
1,1058,8,25
1,1059,28,25
1,1060,31,25
1,1061,22,25
1,1062,20,25
1,1063,19,25
1,1064,28,25
1,1065,16,25
1,1066,14,25
1,1067,16,25
1,1068,20,24
1,1069,20,24
1,1070,22,24
1,1071,16,25
1,1072,29,24
1,1073,28,24
1,1074,20,24
1,1075,2,24
1,1076,20,24
1,1077,39,24
1,1078,36,24
1,1079,29,24
1,1080,2,24
1,1081,35,24
1,1082,36,24
1,1083,31,24
1,1084,29,24
1,1085,35,24
1,1086,14,24
1,1087,39,24
1,1088,2,24
1,1089,28,24
1,1090,20,24
1,1091,14,24
1,1092,34,24
1,1093,36,24
1,1094,25,24
1,1095,14,24
1,1096,38,24
1,1097,39,24
1,1098,16,24
1,1099,6,24
1,1100,2,24
1,1101,39,24
1,1102,31,24
1,1103,38,24
1,1104,6,24
1,1105,35,24
1,1106,39,24
1,1107,36,23
1,1108,39,23
1,1109,35,23
1,1110,35,23
1,1111,12,23
1,1112,39,23
1,1113,36,23
1,1114,12,23
1,1115,2,23
1,1116,2,23
1,1117,29,23
1,1118,35,23
1,1119,35,23
1,1120,39,23
1,1121,39,23
1,1122,39,23
1,1123,32,23
1,1124,15,23
1,1125,22,23
1,1126,29,23
1,1127,28,23
1,1128,16,24
1,1129,14,23
1,1130,18,23
1,1131,22,23
1,1132,22,23
1,1133,35,23
1,1134,7,23
1,1135,2,23
1,1136,38,23
1,1137,12,23
1,1138,8,23
1,1139,38,23
1,1140,29,23
1,1141,34,23
1,1142,10,23
1,1143,31,23
1,1144,6,23
1,1145,39,23
1,1146,31,23
1,1147,39,23
1,1148,2,23
1,1149,7,23
1,1150,6,23
1,1151,16,23
1,1152,14,23
1,1153,39,23
1,1154,6,23
1,1155,22,23
